name,nationality,nationality2,position,played_in_khl,played_in_nhl,teams,gagarin_cup,stanley_cup,olympic_gold,world_gold,link
Александр Логинов,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Amur Khabarovsk / Avtomobilist Yekaterinburg / HC Energie Karlovy Vary / Neftekhimik Nizhnekamsk / Россия U20 / SC Csíkszereda / Salavat Yulaev Ufa / Salavat Yulaev Ufa-2 / Sibir Novosibirsk / Toros Neftekamsk / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/10491/alexander-loginov
Михаил Науменков,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Admiral Vladivostok / CSKA Moskva / CSKA-Krasnaya Armiya Moskva / Krasnaya Armiya Moskva / Kristall Berdsk / Kuban Krasnodar / Россия (all) / Россия II (all) / Россия U16 (all) / Россия U20 / Salavat Yulaev Ufa / THK Tver",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/77240/mikhail-naumenkov
Робин Пресс,Швеция,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / Almtuna IS / Almtuna IS J18 / Almtuna IS J20 / Djurgårdens IF / Färjestad BK / Färjestad BK J20 / Indy Fuel / Lukko / Metallurg Magnitogorsk / Rockford IceHogs / Severstal Cherepovets / Швеция (all) / Швеция U20 (all) / Södertälje SK / Södertälje SK J20 / Wings HC J18 2 / Wings HC U16",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/36616/robin-press
Спенсер Фу,Канада,Китай,Нападающий,ИСТИНА,ИСТИНА,"""A"" / ""C"" / Bonnyville Pontiacs / CAC Canadians U15 AA / CAC Canadians U15 AAA / CAC Canadians U16 AAA / CAC Canadians U18 AA / CAC Canadians U18 AAA / Calgary Flames / Китай / Henderson Silver Knights / Kunlun Red Star / Stockton Heat / Union College",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/107388/spencer-foo
Никита Коростелёв,Россия,Канада,Нападающий,ИСТИНА,ЛОЖЬ,Admiral Vladivostok / Belye Medvedi Moskva U16 / CSKA Moskva / Cleveland Monsters / Jacksonville IceMen / Laval Rocket / Metallurg Magnitogorsk / Peterborough Petes / Россия 25 (all) / Sarnia Sting / Severstal Cherepovets / The Hill Academy Varsity / Toronto Jr. Canadiens U16 AAA / Toronto Jr. Canadiens U18 AAA / Traktor Chelyabinsk / Vaughan Kings U15 AAA / Vaughan Kings U16 AAA / Zvezda Moskva,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/183258/nikita-korostelyov
Мартин Тёрнберг,Швеция,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / HC Dalen / HC Lev Praha / HV71 / HV71 J18 / HV71 J20 / IK Oskarshamn / Lokomotiv Yaroslavl / Швеция / Швеция (all) / Torpedo Nizhny Novgorod",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ИСТИНА,https://www.eliteprospects.com/player/2058/martin-thornberg
Мартин Бакош,Словакия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,"""A"" / Admiral Vladivostok / Bílí Tygři Liberec / HC Ajoie / HC Oceláři Třinec / HC Slovan Bratislava / HC Slovan Bratislava U18 / HC Slovan Bratislava U20 / HK 36 Skalica / HK Orange 20 / HK Sochi / HK Spisska Nova Ves / HK Spisska Nova Ves U16 / HK Spisska Nova Ves U18 / HK Spisska Nova Ves U20 / Kunlun Red Star / Providence Bruins / Словакия / Словакия (all) / Словакия U20 / Spartak Moskva",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/17721/martin-bakos
Михаил Юньков,Россия,N/A,Нападающий,ИСТИНА,ЛОЖЬ,Ak Bars Kazan / Ak Bars Kazan-2 / Avangard Omsk / CSKA Moskva / HK Sochi / Khimik Voskresensk / Krylia Sovetov Moskva / Krylia Sovetov Moskva-2 / Metallurg Magnitogorsk / Molot-Prikamie Perm / Россия U18 / Россия U20 / Salavat Yulaev Ufa / Severstal Cherepovets / Spartak Moskva,ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/9260/mikhail-yunkov
Григорий Панин,Россия,Казахстан,Защитник,ИСТИНА,ЛОЖЬ,"""C"" / Ak Bars Kazan / Ak Bars Kazan-2 / CSK VVS Samara / CSKA Moskva / Lada Togliatti / Lada Togliatti-2 / Россия U20 / Salavat Yulaev Ufa",ИСТИНА,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/16730/grigori-panin
Александр Евсеенков,Россия,N/A,Защитник,ИСТИНА,ЛОЖЬ,"""A"" / ""C"" / Buran Voronezh / CSKA Moskva-2 / HK CSKA Moskva-2 / HK Dmitrov / HK Dmitrov-2 / HK Tambov / Kunlun Red Star / Lada Togliatti / Neftekhimik Nizhnekamsk / Severstal Cherepovets / Toros Neftekamsk / Torpedo Nizhny Novgorod / Velkom Istra / Vityaz Podolsk / Yugra Khanty-Mansiysk",ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,ЛОЖЬ,https://www.eliteprospects.com/player/84480/alexander-yevseyenkov
